occurred_at,type,amount,currency,account_name,counter_account_name,category_group_name,category_name,memo,external_id
2025-10-01,EXPENSE,12000,KRW,현금,,식비,점심,점심식사,tx-001
2025-10-01,EXPENSE,4500,KRW,현금,,카페,아메리카노,커피 한 잔,tx-002
2025-10-02,EXPENSE,55000,KRW,체크카드,,교통,정기권,지하철 정기권 충전,tx-003
2025-10-02,INCOME,3000000,KRW,은행,,급여,월급,10월 월급,tx-004
2025-10-03,EXPENSE,89000,KRW,체크카드,,식비,저녁,저녁 회식,tx-005
2025-10-03,EXPENSE,22000,KRW,현금,,생활,세제,세제 구입,tx-006
2025-10-04,EXPENSE,15000,KRW,현금,,의료,약,감기약,tx-007
2025-10-04,INCOME,120000,KRW,현금,,기타수입,중고판매,책 판매,tx-008
2025-10-05,EXPENSE,38000,KRW,체크카드,,쇼핑,의류,셔츠 구입,tx-009
2025-10-05,EXPENSE,6000,KRW,현금,,카페,라떼,라떼,tx-010
2025-10-06,TRANSFER,500000,KRW,은행,저축계좌,,,,저축으로 이체,tx-011
2025-10-06,EXPENSE,42000,KRW,체크카드,,식비,점심,회사 점심,tx-012
2025-10-07,EXPENSE,80000,KRW,체크카드,,여가,영화,영화 관람,tx-013
2025-10-07,EXPENSE,30000,KRW,현금,,교통,택시,야간 택시,tx-014
2025-10-08,INCOME,50000,KRW,현금,,기타수입,선물,부모님 용돈,tx-015
2025-10-08,EXPENSE,27000,KRW,체크카드,,식비,간식,간식 구입,tx-016
2025-10-09,EXPENSE,110000,KRW,체크카드,,주거,관리비,관리비 납부,tx-017
2025-10-09,TRANSFER,200000,KRW,현금,은행,,,,현금 입금,tx-018
2025-10-10,EXPENSE,35000,KRW,체크카드,,생활,문구,사무용품 구입,tx-019
2025-10-10,EXPENSE,23000,KRW,현금,,식비,아침,아침 식사,tx-020
